,P_LRMS_QUEUING,P_LRMS_RUNNING,P_LRMS_SUBMITTING,P_PMGR_QUEUING,P_PMGR_SCHEDULING,TTC,U_AGENT_EXECUTING,U_AGENT_QUEUING,U_AGENT_QUEUING_EXEC,U_AGENT_SCHEDULING,U_UMGR_BINDING,U_UMGR_SCHEDULING,experiment,ncore,ncore_active,nhost,npilot,npilot_active,nunit,nunit_done,nunit_failed,sid
rp.session.titan-ext2.aleang9.017222.0009,22146.6250999,6447.72659993,31.5112001896,0.00169992446899,0.112900018692,28632.0192001,6209.25480008,1.06640005112,31.3986999989,18.9847998619,0.353600025177,4.69849991798,exp1,16016,16016,1,1,1,1000,1000,0,rp.session.titan-ext2.aleang9.017222.0009
rp.session.titan-ext2.aleang9.017222.0015,149.032700062,5571.62950015,34.6119999886,0.00159978866577,0.12180018425,5761.35960007,5424.18490005,92.0888998508,232.799798489,89.295702219,0.362800121307,7.16499996185,exp1,16016,16016,1,1,1,1000,1000,0,rp.session.titan-ext2.aleang9.017222.0015
rp.session.titan-ext2.aleang9.017222.0018,12008.0049999,4502.30669999,33.2022001743,0.00179982185364,0.11360001564,17445.2802,4443.6104002,0.423700094223,26.1031000614,15.6412000656,0.373399972916,5.10579991341,exp1,16016,16016,1,1,1,1000,1000,0,rp.session.titan-ext2.aleang9.017222.0018
rp.session.titan-ext2.aleang9.017222.0025,1388.94799995,4622.12750006,56.2021999359,0.00180006027222,0.114599943161,6903.99589992,4468.65909982,0.8109998703,23.6665000916,16.8138000965,0.373399972916,5.24080014229,exp1,16016,16016,1,1,1,1000,1000,0,rp.session.titan-ext2.aleang9.017222.0025
rp.session.titan-ext2.aleang9.017222.0029,166.615300179,4712.44869995,36.7725999355,0.00200009346008,0.118599891663,5666.93239999,4519.33229995,10.3684005737,51.9925999641,16.6474995613,0.361299991608,6.75480008125,exp1,16016,16016,1,1,1,1000,1000,0,rp.session.titan-ext2.aleang9.017222.0029
rp.session.titan-ext2.aleang9.017222.0032,3227.62299991,4588.38880014,70.4763000011,0.00200009346008,0.113599777222,8203.18480015,4467.81699991,0.767899990082,52.1291003227,16.6091001034,0.372299909592,6.73309993744,exp1,16016,16016,1,1,1,1000,1000,0,rp.session.titan-ext2.aleang9.017222.0032
rp.session.titan-ext7.aleang9.017223.0001,416.033900023,4583.46539998,38.8246998787,0.00160002708435,0.121999979019,7917.04959989,4474.15390015,0.56650018692,27.551199913,16.4967999458,0.351500034332,7.05789995193,exp1,16016,16016,1,1,1,1000,1000,0,rp.session.titan-ext7.aleang9.017223.0001
rp.session.titan-ext7.aleang9.017223.0006,695.771300077,5326.11260009,38.2293999195,0.00180006027222,0.113199949265,6065.83769989,5110.29099989,0.74480009079,27.2195000648,16.1996998787,0.349300146103,5.21529984474,exp1,16016,16016,1,1,1,1000,1000,0,rp.session.titan-ext7.aleang9.017223.0006
rp.session.titan-ext7.aleang9.017224.0001,278.71969986,5102.22520018,38.8819000721,0.00180006027222,0.11879992485,5426.05330014,5039.49000001,13.8107993603,26.0098998547,16.6141002178,0.352800130844,5.06219983101,exp1,16016,16016,1,1,1,1000,1000,0,rp.session.titan-ext7.aleang9.017224.0001
rp.session.titan-ext7.aleang9.017224.0009,5963.37269998,4502.87980008,60.8336999416,0.00239992141724,0.112800121307,10533.2121,4448.15949988,0.743400096893,22.658200264,16.6345000267,0.341799974442,6.66680002213,exp1,16016,16016,1,1,1,1000,1000,0,rp.session.titan-ext7.aleang9.017224.0009
rp.session.titan-ext7.aleang9.017224.0021,326.990999937,4502.1803,85.9739999771,0.00189995765686,0.121600151062,4920.9533,4444.24639988,12.7454993725,23.4194998741,16.6435003281,0.353100061417,6.68689990044,exp1,16016,16016,1,1,1,1000,1000,0,rp.session.titan-ext7.aleang9.017224.0021
