,P_LRMS_QUEUING,P_LRMS_RUNNING,P_LRMS_SUBMITTING,P_PMGR_QUEUING,P_PMGR_SCHEDULING,experiment,hid,ncore,nunit,pid,sid
0,74.1148002148,6489.51759982,40.7173998356,0.00209999084473,0.117700099945,exp1,nid17410.10.128.68.139,4112,1280,pilot.0000,rp.session.titan-ext1.aleang9.017240.0009
1,256.922800064,6101.76810002,38.4986000061,0.00230002403259,0.113800048828,exp1,,4112,1280,pilot.0000,rp.session.titan-ext1.aleang9.017240.0011
2,1345.68070006,6102.86150002,41.976099968,0.0032000541687,0.117599964142,exp1,,4112,1280,pilot.0000,rp.session.titan-ext1.aleang9.017240.0012
3,75.1236000061,6005.43449998,39.5148000717,0.00209999084473,0.113399982452,exp1,ccs.ornl.gov,4112,1280,pilot.0000,rp.session.titan-ext1.aleang9.017240.0014
4,1791.54820013,6574.45919991,38.9244000912,0.00189995765686,0.115200042725,exp1,ccs.ornl.gov,4112,1280,pilot.0000,rp.session.titan-ext1.aleang9.017241.0001
5,159.536000013,6801.79949999,39.8106999397,0.00189995765686,0.113500118256,exp1,,4112,1280,pilot.0000,rp.session.titan-ext1.aleang9.017241.0003
6,82.351099968,6179.75480008,42.9616999626,0.00200009346008,0.117199897766,exp1,ccs.ornl.gov,4112,1280,pilot.0000,rp.session.titan-ext1.aleang9.017241.0006
7,2097.72180009,6702.20129991,33.9642000198,0.00209999084473,0.114799976349,exp2,,8208,2560,pilot.0000,rp.session.titan-ext1.aleang9.017237.0006
8,6046.60649991,6504.07490015,34.4095001221,0.0019998550415,0.117000102997,exp2,,8208,2560,pilot.0000,rp.session.titan-ext1.aleang9.017237.0008
9,17732.4664998,5901.38110018,32.6270999908,0.00209999084473,0.115400075912,exp2,,8208,2560,pilot.0000,rp.session.titan-ext1.aleang9.017238.0001
10,34294.0885999,6676.41960001,38.040199995,0.00219988822937,0.117200136185,exp2,nid02734.10.128.10.195,8208,2560,pilot.0000,rp.session.titan-ext1.aleang9.017238.0008
11,2101.32500005,7107.27719998,33.8043999672,0.00169992446899,0.116900205612,exp2,nid04704.10.128.18.133,8208,2560,pilot.0000,rp.session.titan-ext1.aleang9.017239.0001
12,98.7321000099,7002.80380011,37.0450000763,0.00179982185364,0.117100000381,exp2,ccs.ornl.gov,8208,2560,pilot.0000,rp.session.titan-ext1.aleang9.017239.0003
13,3100.42799997,6712.10599995,32.9723000526,0.00200009346008,0.114999771118,exp2,nid07968.10.128.31.95,8208,2560,pilot.0000,rp.session.titan-ext1.aleang9.017239.0005
14,25393.7217999,6504.07270002,37.8327000141,0.00220012664795,0.113399982452,exp2,,8208,2560,pilot.0000,rp.session.titan-ext1.aleang9.017239.0007
15,26033.0774999,6113.11330009,33.1772999763,0.00189995765686,0.113900184631,exp2,nid13170.10.128.51.217,8208,2560,pilot.0000,rp.session.titan-ext1.aleang9.017240.0002
16,2542.47420001,6489.04979992,34.2876999378,0.00200009346008,0.113699913025,exp2,ccs.ornl.gov,8208,2560,pilot.0000,rp.session.titan-ext1.aleang9.017240.0010
17,494.899200201,6502.98559999,37.6906998158,0.00220012664795,0.113699913025,exp2,,8208,2560,pilot.0000,rp.session.titan-ext1.aleang9.017240.0013
18,1619.96239996,5902.79939985,32.6259000301,0.00209999084473,0.115400075912,exp2,,8208,2560,pilot.0000,rp.session.titan-ext1.aleang9.017241.0000
19,97.5583000183,6001.36039996,33.6542000771,0.00180006027222,0.11679983139,exp2,,8208,2560,pilot.0000,rp.session.titan-ext1.aleang9.017241.0002
