DATE,NODES,WALLTIME
14.12.2015,6917,154
14.12.2015,1461,144
14.12.2015,6874,134
14.12.2015,29,120
14.12.2015,8369,123
14.12.2015,57,120
14.12.2015,9124,113
14.12.2015,29,120
14.12.2015,11559,103
14.12.2015,57,120
14.12.2015,12178,93
14.12.2015,16,120
14.12.2015,12803,83
14.12.2015,1,120
14.12.2015,13830,73
14.12.2015,11432,63
14.12.2015,19,120
14.12.2015,13116,53
14.12.2015,13302,43
14.12.2015,16,120
14.12.2015,13302,33
14.12.2015,16,120
14.12.2015,13838,23
14.12.2015,4,120
14.12.2015,14576,12
14.12.2015,14,120
14.12.2015,15703,2
14.12.2015,7,120
14.12.2015,1,120
14.12.2015,10,120
14.12.2015,5,120
14.12.2015,2,120
14.12.2015,2,120
14.12.2015,8,120
14.12.2015,7,120
14.12.2015,46,120
14.12.2015,7,120
14.12.2015,36,120
14.12.2015,3,120
14.12.2015,1,120
14.12.2015,7,120
15.12.2015,35,120
15.12.2015,8,120
15.12.2015,8,120
15.12.2015,2,120
15.12.2015,18,120
15.12.2015,37,120
15.12.2015,6,120
15.12.2015,55,120
15.12.2015,61,120
15.12.2015,18,120
15.12.2015,106,120
15.12.2015,91,120
15.12.2015,41,120
15.12.2015,19,120
15.12.2015,131,304
15.12.2015,79,120
15.12.2015,32,120
15.12.2015,66,120
15.12.2015,11,120
15.12.2015,80,120
15.12.2015,39,120
15.12.2015,89,120
15.12.2015,62,120
15.12.2015,765,191
15.12.2015,2329,180
15.12.2015,4701,170
15.12.2015,5321,160
15.12.2015,14198,150
15.12.2015,15260,140
15.12.2015,15075,130
15.12.2015,16146,119
16.12.2015,1,120
16.12.2015,1,120
16.12.2015,1,120
16.12.2015,4,120
16.12.2015,4,120
16.12.2015,1,120
16.12.2015,10,120
16.12.2015,42,120
16.12.2015,7,120
16.12.2015,12,120
16.12.2015,8,120
16.12.2015,8,120
16.12.2015,8,120
16.12.2015,8,120
16.12.2015,7,120
16.12.2015,7,120
16.12.2015,7,120
16.12.2015,7,120
16.12.2015,7,120
16.12.2015,5,120
16.12.2015,6,120
16.12.2015,6,120
16.12.2015,3,120
16.12.2015,11,120
16.12.2015,1,120
16.12.2015,1,120
